"Status","Name","Duration in ms","Description"
"passed","Utils..waitDuring()","1529",""
"passed","Utils..textContains()","4",""
"passed","Utils..isInScene()","4",""
"passed","Utils.internal logger","157",""
"passed","Utils..docString()","3",""
"passed","Utils..toKebab()","4",""
"passed","Utils..waitFor()","2562",""
"passed","Utils..objOnScreenPos()","2",""
"passed","Utils..each2each()","3",""
"passed","Utils..loadJson()","12",""
"passed","Utils..makeFixture()","9",""
"passed","Utils..splitBy()","2",""
